MONGODB | Topology type 'unknown' initializing.
MONGODB | Server localhost:27017 initializing.
MONGODB | Topology type 'unknown' changed to type 'single'.
MONGODB | Server description for localhost:27017 changed from 'unknown' to 'standalone'.
MONGODB | There was a change in the members of the 'single' topology.
MONGODB | localhost:27017 | triresults_development.delete | STARTED | {"delete"=>"races", "deletes"=>[{"q"=>{}, "limit"=>0}], "ordered"=>true}
MONGODB | localhost:27017 | triresults_development.delete | SUCCEEDED | 0.015998s
MONGODB | localhost:27017 | triresults_development.delete | STARTED | {"delete"=>"racers", "deletes"=>[{"q"=>{}, "limit"=>0}], "ordered"=>true}
MONGODB | localhost:27017 | triresults_development.delete | SUCCEEDED | 0.001001s
MONGODB | localhost:27017 | triresults_development.delete | STARTED | {"delete"=>"results", "deletes"=>[{"q"=>{}, "limit"=>0}], "ordered"=>true}
MONGODB | localhost:27017 | triresults_development.delete | SUCCEEDED | 0.000999s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000000'), "next_bib"=>20, "n"=>"Upper Tract Iron", "loc"=>{"city"=>"Upper Tract", "state"=>"WV", "loc"=>{"type"=>"Point", "coordinates"=>[-79.258589, 38.794952]}}, "date"=>Tue...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.56361s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000006'), "next_bib"=>20, "n"=>"Upper Tract Iron", "loc"=>{"city"=>"Upper Tract", "state"=>"WV", "loc"=>{"type"=>"Point", "coordinates"=>[-79.258589, 38.794952]}}, "date"=>Sun...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.004s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300000c'), "next_bib"=>20, "n"=>"Upper Tract Iron", "loc"=>{"city"=>"Upper Tract", "state"=>"WV", "loc"=>{"type"=>"Point", "coordinates"=>[-79.258589, 38.794952]}}, "date"=>Fri...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.003s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000012'), "next_bib"=>20, "n"=>"Avella Olympic", "loc"=>{"city"=>"Avella", "state"=>"PA", "loc"=>{"type"=>"Point", "coordinates"=>[-80.456503, 40.273386]}}, "date"=>Tue, 10 Fe...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.001999s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000018'), "next_bib"=>20, "n"=>"Avella Olympic", "loc"=>{"city"=>"Avella", "state"=>"PA", "loc"=>{"type"=>"Point", "coordinates"=>[-80.456503, 40.273386]}}, "date"=>Fri, 05 Fe...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.024002s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300001e'), "next_bib"=>20, "n"=>"Avella Olympic", "loc"=>{"city"=>"Avella", "state"=>"PA", "loc"=>{"type"=>"Point", "coordinates"=>[-80.456503, 40.273386]}}, "date"=>Sun, 13 Fe...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.003s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000024'), "next_bib"=>20, "n"=>"Bolivar Sprint", "loc"=>{"city"=>"Bolivar", "state"=>"NY", "loc"=>{"type"=>"Point", "coordinates"=>[-78.144834, 42.070442]}}, "date"=>Wed, 04 M...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.003001s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300002a'), "next_bib"=>20, "n"=>"Bolivar Sprint", "loc"=>{"city"=>"Bolivar", "state"=>"NY", "loc"=>{"type"=>"Point", "coordinates"=>[-78.144834, 42.070442]}}, "date"=>Mon, 22 M...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002003s
